YEAR,State,Total_Population,White_Alone_population,Black_Alone_population,American_Indian_or_Alaskan_Native_population,Asian_Alone_population,Not_Hispanic_population,Hispanic_poulation,Total_Victims,Total_Victims_with_Race,Black_total,White_total,Hispanic_total,Asian_total,Non_Hispanic_total
2017,ND,754942,660053,23603,42067,12583,726334,28608,3,3,NULL,NULL,NULL,NULL,3
2018,ND,758080,660720,25115,42246,12706,728155,29925,4,4,NULL,4,NULL,NULL,NULL
2019,ND,762062,662555,25984,42465,12860,730530,31532,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2015,NE,1891277,1684410,93989,27238,44374,1695078,196199,8,8,1,7,NULL,NULL,NULL
2016,NE,1905616,1690996,96223,28048,47625,1702968,202648,7,7,2,5,NULL,NULL,NULL
2017,NE,1915947,1695875,97603,28674,49684,1706835,209112,NULL,NULL,NULL,NULL,NULL,NULL,NULL
2018,NE,1925614,1700153,99264,28933,51581,1711136,214478,1,1,1,NULL,NULL,NULL,NULL
2019,NE,1934408,1704129,100763,29285,53187,1714763,219645,6,6,1,2,2,NULL,1
2015,NH,1336350,1252746,20179,3808,37409,1290861,45489,3,3,NULL,3,NULL,NULL,NULL
2016,NH,1342307,1255396,21380,3883,38684,1294534,47773,2,2,NULL,2,NULL,NULL,NULL
2017,NH,1348787,1259593,22294,3964,39321,1298511,50276,3,2,NULL,2,NULL,NULL,NULL
2018,NH,1353465,1262037,23338,4068,39814,1300970,52495,2,2,NULL,2,NULL,NULL,NULL
2019,NH,1359711,1266097,24371,4114,40300,1305122,54589,2,2,NULL,2,NULL,NULL,NULL
2015,NJ,8867949,6470332,1319283,52217,830504,7137258,1730691,15,13,3,7,3,NULL,NULL
2016,NJ,8870827,6447703,1323504,52466,846904,7109495,1761332,12,11,7,3,NULL,1,NULL
2017,NJ,8885525,6431527,1327681,53186,867632,7089460,1796065,12,10,5,2,3,NULL,NULL
2018,NJ,8886025,6412643,1331146,54224,877709,7057256,1828769,12,12,6,5,1,NULL,NULL
2019,NJ,8882190,6388804,1337457,55429,886810,7025346,1856844,12,10,6,3,1,NULL,NULL
2015,NM,2089291,1722879,51786,224709,35762,1081299,1007992,20,20,NULL,9,11,NULL,NULL
2016,NM,2091630,1721226,52473,226754,36155,1076457,1015173,21,20,NULL,6,13,NULL,1
2017,NM,2091784,1718166,52864,228502,36280,1070904,1020880,21,18,NULL,4,14,NULL,NULL
2018,NM,2092741,1716439,53661,228967,36900,1065633,1027108,20,19,1,4,14,NULL,NULL
2019,NM,2096829,1716656,54772,229794,37550,1063887,1032942,18,12,NULL,3,8,NULL,1
2015,NV,2866939,2174733,268539,47148,237391,2061129,805810,19,17,3,11,3,NULL,NULL
2016,NV,2917563,2197650,280959,48319,245065,2088519,829044,13,12,2,3,7,NULL,NULL
2017,NV,2969905,2220937,294042,49586,253252,2117441,852464,16,15,2,7,5,NULL,1
2018,NV,3027341,2251090,305994,50847,260674,2150051,877290,22,19,3,7,7,2,NULL
2019,NV,3080156,2277552,316303,51946,268166,2179556,900600,11,10,2,3,5,NULL,NULL
2015,NY,19654666,13837239,3454601,188922,1670741,15977166,3677500,19,18,8,9,NULL,1,NULL
2016,NY,19633428,13773337,3453356,189421,1702647,15925768,3707660,17,17,9,7,1,NULL,NULL
2017,NY,19589572,13706039,3443385,189165,1725964,15864453,3725119,16,15,8,4,3,NULL,NULL
2018,NY,19530351,13634357,3432310,189565,1739423,15786810,3743541,15,15,6,6,3,NULL,NULL
2019,NY,19453561,13546776,3421123,189748,1753199,15702503,3751058,23,18,10,7,1,NULL,NULL
2015,OH,11617527,9599241,1481398,31987,249875,11201616,415911,29,28,13,14,NULL,NULL,NULL
2016,OH,11634370,9583165,1493613,32467,262775,11205243,429127,26,26,12,12,NULL,2,NULL
2017,OH,11659650,9576538,1505501,32989,274888,11215786,443864,34,34,11,23,NULL,NULL,NULL
2018,OH,11676341,9564938,1516653,33582,283758,11217253,459088,32,30,8,21,1,NULL,NULL
